,Order,Destination,Address,Tag,DriveCourseID,PlaceID,latitude,longitude,LocalID
21,8,구룡포과메기문화관,경상북도 포항시 남구 구룡포읍 구룡포길117번길 28-8,#가족과함께 #과메기문화관 #문화시설 #아이와함께,3,22,35.9927403032825,129.561799281657,5
22,1,삼척항 - 새천년도로변,강원특별자치도 삼척시 삼척항길 196,#레포츠 #밀레니엄도로 #삼척드라이브길 #삼척여행 #삼척해수욕장 #새천년도로 #영화외출 #해안드라이브,4,23,37.436187926718,129.188160340913,2
23,2,삼척 덕풍계곡마을,강원특별자치도 삼척시 가곡면 풍곡안길 17-18,#관광지 #농촌마을 #농촌여행 #산책하기좋은곳 #여름피서지 #자연관광지 #자연마을 #자연좋은곳 #자연환경 #체험 #휴식공간 #휴식여행 #휴식하기 #휴식하기좋은곳,4,24,37.1246637709361,129.155968542953,2
24,3,덕풍계곡,강원특별자치도 삼척시 가곡면 덕풍길 44,#강원권 #강원삼척트레킹 #계곡 #계곡트레킹 #관광지 #덕풍계곡마을 #덕풍계곡트레킹 #삼척계곡 #여름방학 #여름방학가볼만한곳 #자연 #피서,4,25,37.12224076412,129.158367440869,2
25,4,덕풍계곡 트레킹,강원특별자치도 삼척시 가곡면 풍곡리,#가족여행 #강원권 #레포츠 #삼척여행 #여름가볼만한곳 #여름여행 #트레킹,4,26,37.089033331712,129.163426186393,2
26,5,삼척초당굴,강원특별자치도 삼척시 근덕면 금계리,#강원권 #관광지 #동굴 #미세먼지탈출_이색동굴여행 #수직동굴 #이색동굴여행 #자연 #천연기념물,4,27,37.3960605898253,129.181112364337,2
27,1,송지호 해수욕장,강원특별자치도 고성군 죽왕면 심층수길 85,#강원권 #강원도해수욕장 #관광지 #바다내음 #바다풍경 #송지호해수욕장 #여름여행 #자연 #친구와함께 #해수욕 #휴식공간 #휴식여행 #휴식하기좋은곳 #휴양여행 #힐링 #힐링여행,5,28,38.3314818425851,128.526533118031,2
28,2,이사부길(새천년해안도로),강원특별자치도 삼척시 새천년도로 61-18,#2024_여행가는달과함께하는_발도장여행지 #경치좋은곳 #관광지 #드라이브여행 #드라이브코스 #바다경치 #바다내음 #바다전망 #바다풍경 #연인과함께 #자연여행 #자연좋은곳 #자연풍경 #자연환경 #친구와함께 #해안드라이브,5,29,37.4392643625405,129.187977232141,2
29,3,"장호해수욕장(장호항, 장호해변)",강원특별자치도 삼척시 근덕면 장호리,#강원_가볼만한곳 #강원권 #강원도_여행지_추천 #관광지 #낚시 #바다 #바다내음 #바다풍경여행 #산불피해지역 #여름피서지 #자연 #장호해변 #체험,5,30,37.2729889714872,129.310409450271,2
30,1,송지호 해수욕장,강원특별자치도 고성군 죽왕면 심층수길 85,#강원권 #강원도해수욕장 #관광지 #바다내음 #바다풍경 #송지호해수욕장 #여름여행 #자연 #친구와함께 #해수욕 #휴식공간 #휴식여행 #휴식하기좋은곳 #휴양여행 #힐링 #힐링여행,6,31,38.3314818425851,128.526533118031,2
31,2,백담사,강원특별자치도 인제군 백담로 746 백담사,#가족과함께 #강원권 #관광지 #내설악 #문화관광해설사 #불교 #불교문화 #사찰여행 #역사 #역사관광지 #연중무휴 #오세암 #인제여행 #자연환경 #전통사찰 #종교 #친구와함께 #템플스테이 #한국불교 #휴식공간 #휴식여행 #휴식하기 #휴식하기좋은곳,6,32,38.1643044748974,128.374119290617,2
32,3,인제스피디움리조트 서킷,강원특별자치도 인제군 기린면 상하답로 130,#레이싱 #레포츠 #이색체험 #인제스피디움리조트,6,33,38.0026073029496,128.295384285256,2
33,4,평화의댐(화천),강원특별자치도 화천군 화천읍 평화로 3481-18,#가족여행 #강원권 #관광지 #아이와함께 #자연 #평화의댐 #화천가볼만한곳,6,34,38.2136611859135,127.846159229875,2
34,5,고석정 꽃밭,강원특별자치도 철원군 동송읍 태봉로 1769,#고석정 #관광지 #구절초 #꽃밭 #맨드라미 #백일홍 #사진찍기좋은곳 #철원가볼만한곳 #코스모스 #해바라기,6,35,38.1882273230829,127.295506161815,2
35,6,아야진해변,강원특별자치도 고성군 토성면 아야진해변길 157,#가족여행 #강원_가볼만한곳 #강원권 #강원도_여행지_추천 #관광지 #바다풍경 #바다풍경여행 #아야진해변 #여름여행 #연인과함께 #자연 #자연좋은곳 #친구와함께 #피서여행 #휴식공간 #휴식여행 #휴식하기 #휴식하기좋은곳,6,36,38.2765191847584,128.55276096923,2
36,7,철원 노동당사,강원특별자치도 철원군 철원읍 금강산로 265,#강원권 #강원도_여행지_추천 #관광지 #노동당사 #역사 #역사공부 #역사관광지 #역사를품은곳 #역사문화재 #역사속 #역사속으로 #역사여행 #역사유적 #역사유적지 #역사이야기 #역사탐험,6,37,38.2552009441858,127.202000967047,2
37,8,해산전망대,강원특별자치도 화천군 화천읍 동촌리 산11-7,#경치좋은곳 #관광지 #산책길 #산책하기 #산책하기좋은곳 #자연속으로 #자연여행 #자연좋은곳 #자연풍경 #자연환경 #휴식공간 #휴식여행 #휴식하기 #휴식하기좋은곳,6,38,38.1905004135509,127.816928076441,2
38,1,소양강처녀상,강원특별자치도 춘천시 영서로 2675,#강원권 #관광지 #소양강처녀상 #연중무휴,7,39,37.8934276815185,127.724325847556,2
39,2,강원특별자치도립화목원,강원특별자치도 춘천시 화목원길 24,#가족여행 #강원권 #강원도립화목원 #관광지 #꽃여행 #박물관 #수목원 #아이와함께 #자연 #자연좋은곳,7,40,37.9226444575207,127.725155972564,2
40,3,소양강처녀상,강원특별자치도 춘천시 영서로 2675,#강원권 #관광지 #소양강처녀상 #연중무휴,7,41,37.8934276815185,127.724325847556,2
41,4,제이드가든,강원특별자치도 춘천시 남산면 햇골길 80,#2024_여행가는달과함께하는_발도장여행지 #강원권 #강원도_여행지_추천 #강원도가볼만한곳 #관광지 #드라마촬영지 #수목원 #연중무휴 #자연 #제이드가든수목원 #힐링여행,7,42,37.8327469495872,127.542140775057,2
42,5,강원특별자치도립화목원,강원특별자치도 춘천시 화목원길 24,#가족여행 #강원권 #강원도립화목원 #관광지 #꽃여행 #박물관 #수목원 #아이와함께 #자연 #자연좋은곳,7,43,37.9226444575207,127.725155972564,2
43,6,의암호,강원특별자치도 춘천시 신동면 옛경춘로 114,#경치여행 #경치좋은곳 #낚시 #둘레길 #레고랜드 #레포츠 #붕어 #산책로 #산책하기좋은곳 #얼음낚시 #의암스카이워크 #자전거길 #케이블카 #힐링산책,7,44,37.8374109121196,127.677403902317,2
44,1,파주 장단콩마을,경기도 파주시 군내면 통일촌길 64,#가족과함께 #관광지 #농촌마을 #농촌여행 #농촌체험마을 #농촌체험여행 #아이와함께 #체험 #체험프로그램 #휴식공간 #휴식여행 #휴식하기 #휴식하기좋은곳,8,45,37.9106389800343,126.733603103531,1
45,2,임진강댑싸리공원,경기도 연천군 중면 삼곶리,#2024_여행가는달과함께하는_발도장여행지 #가을추천명소 #관광지 #꽃구경 #꽃구경 #댑싸리공원 #연천가볼만한곳 #연천가볼만한곳 #임진강댑싸리공원,8,46,38.1370138655657,127.01874327138,1
46,1,안산문화원,경기도 안산시 상록구 석호로 144,#가족여행 #경기권 #무장애 #문화시설 #서울근교여행 #안산문화원 #안산문화학교 #안산민속체험 #안산박물관 #안산시 #안산향토사박물관 #전통문화체험 #지역문화학교 #향토유물전시,9,47,37.2993256853712,126.847631726672,1
47,2,안산갈대습지공원,경기도 안산시 상록구 갈대습지로 76,#가족과함께 #갈대밭데이트코스 #걷기길 #관광지 #데이트코스 #생태관광 #생태자료전시 #수도권 #시화호 #아이와함께 #안산갈대습지공원 #안산공원 #안산체험교육 #연인과함께 #인공습지 #인생샷 #자연,9,48,37.2737227465741,126.839755313316,1
48,1,백운사(의왕),경기도 의왕시 왕곡로 323,#경치좋은곳 #관광지 #백운산등산코스 #불교 #불교문화 #사찰 #사찰여행 #수도권 #역사 #의왕가볼만한곳 #의왕백운사 #의왕사찰 #자연속으로 #자연환경 #전통사찰 #종교 #한국불교 #휴식공간 #휴식여행 #휴식하기 #휴식하기좋은곳,10,49,37.3499054915944,127.00788604023,1
49,2,백운호수,경기도 의왕시 백운로 526,#경치좋은곳 #관광지 #백운사 #백운호수 #수도권 #의왕 #의왕가볼만한곳 #의왕백운사 #의왕사찰 #자연 #호수 #휴양여행 #힐링,10,50,37.3832117467149,127.00075765292,1
50,3,하우현성당,경기도 의왕시 원터아랫길 81-6,#관광지 #교우촌 #문화관광해설사 #수도권 #역사 #역사공부 #역사관광지 #역사를품은곳 #역사문화재 #역사속 #역사속으로 #역사여행 #역사유적 #역사유적지 #역사이야기 #역사탐방 #역사탐험 #의왕8경 #의왕경치좋은곳 #의왕하우현성당 #의왕하우현성당사제관 #종교 #천주교 #천주교성지 #천주교성지순례 #피난처 #하우현성당 #하우현성당사제관,10,51,37.3959762318847,127.023736739476,1
51,4,청계사(경기),경기도 의왕시 청계로 475,#관광지 #문화관광해설사 #사찰 #수도권 #역사 #우담바라꽃 #우담바라사찰 #의왕경치좋은곳 #의왕사찰 #의왕청계사 #의왕추천여행지 #청계산사찰,10,52,37.4120684951383,127.034875225965,1
52,1,영진해변,강원특별자치도 강릉시 주문진읍 해안로 1609,#강원권 #관광지 #바다경치 #바다내음 #바다풍경 #여름여행 #여름휴가 #연중무휴 #영진해변 #자연 #해변 #휴식공간 #휴식여행 #휴식하기좋은곳,11,53,37.8795534915402,128.833557121069,2
53,2,대진 등대,강원특별자치도 고성군 현내면 한나루로4길 16-38,#강원권 #강원도경치좋은곳 #경치여행 #경치좋은곳 #관광지 #대진등대 #동해여행 #등대 #무인등대 #바다경치 #바다내음 #자연 #풍경,11,54,38.5037560840299,128.428733864322,2
54,3,청간정,강원특별자치도 고성군 토성면 동해대로 5110,#강원권 #강원도유형문화재 #경치좋은곳 #고성가볼만한곳 #관광지 #관동팔경 #교과서속여행 #역사 #역사공부 #역사를품은곳 #역사속 #역사속으로 #역사유적지 #역사이야기 #역사탐방 #역사탐험 #예능촬영지 #유적지 #청간정,11,55,38.2643987706534,128.55837360986,2
55,4,고성 통일전망타워,강원특별자치도 고성군 현내면 금강산로 481,#가족과함께 #강원권 #고성가볼만한곳 #고성통일전망대 #관광지 #교과서속여행 #아이와함께 #안보 #안보관광 #안보여행 #역사공부 #역사속으로 #역사이야기 #연중무휴 #전망대 #전쟁역사 #통일전망대 #통일전망대(고성) #한국전쟁,11,56,38.5144187175158,128.416656703129,2
56,1,조양방직,인천광역시 강화군 강화읍 향나무길5번길 12,#2024_여행가는달과함께하는_발도장여행지 #SNS속_인생샷명소 #데이트 #레트로 #레트로여행 #연인과함께 #음식 #인생샷 #조양방직 #친구와함께 #커플데이트,12,57,37.7467787566069,126.480970774647,1
57,2,라베니체광장,경기도 김포시 태장로 810,#SNS지원단 #관광지 #김포시 #라베니체 #수변공원,12,58,37.637564080956,126.677341908204,1
58,3,김포 장릉(인헌왕후) [유네스코 세계유산],경기도 김포시 장릉로 79,#2024_여행가는달과함께하는_발도장여행지 #가족여행 #관광지 #교과서속여행 #김포가볼만한곳 #김포장릉 #아이와함께 #역사 #역사공부 #역사관광지 #역사를품은곳 #역사문화재 #역사속으로 #역사유적 #역사유적지 #역사탐방 #유네스코세계문화유산 #인헌왕후 #전통&역사문화체험 #조선왕릉 #친구와함께,12,59,37.6107518993992,126.712658300211,1
59,1,원대리 자작나무 숲 (속삭이는 자작나무 숲),강원특별자치도 인제군 인제읍 자작나무숲길 760,#2024_여행가는달과함께하는_발도장여행지 #21_22한국관광100선 #23_24한국관광100선 #SNS속_인생샷명소 #가족여행 #강원권 #겨울가볼만한곳 #경치좋은곳 #관광지 #숙박대전_가볼만한곳 #숙박대전_추천기사 #원대리사진맛집 #원대리자작나무숲 #인생샷 #인제자작나무숲 #인제포토스팟 #자연 #자작나무숲 #한국관광100선,13,60,38.0092057134613,128.194290340012,2
60,2,화암사(고성),강원특별자치도 고성군 토성면 화암사길 100,#2024_여행가는달과함께하는_발도장여행지 #가족과함께 #강원권 #고성화암사 #관광지 #불교 #불교문화 #불교사찰 #사찰 #사찰여행 #역사 #연중개방 #자연환경 #전통차 #종교 #한국불교 #화암사 #휴식공간 #휴식여행 #휴식하기 #휴식하기좋은곳,13,61,38.2263035536854,128.471142957894,2
61,3,해산전망대,강원특별자치도 화천군 화천읍 동촌리 산11-7,#경치좋은곳 #관광지 #산책길 #산책하기 #산책하기좋은곳 #자연속으로 #자연여행 #자연좋은곳 #자연풍경 #자연환경 #휴식공간 #휴식여행 #휴식하기 #휴식하기좋은곳,13,62,38.1905004135509,127.816928076441,2
62,4,인제스피디움리조트 서킷,강원특별자치도 인제군 기린면 상하답로 130,#레이싱 #레포츠 #이색체험 #인제스피디움리조트,13,63,38.0026073029496,128.295384285256,2
63,5,한반도섬,강원특별자치도 양구군 양구읍 한반도섬길 76,#관광지 #양구가볼만한곳 #한반도섬,13,64,38.1306141932488,127.982762831123,2
64,1,하조대,강원특별자치도 양양군 현북면 하조대해안길 29,#관광지,14,65,38.0224880651102,128.724933814868,2
65,2,"서피비치, 서핑(양양)",강원특별자치도 양양군 현북면 하조대해안길 119,#2020 #2020한국관광의별 #강원권 #강원권반려동물여행지 #꿀잼_액티비티 #레포츠 #반려동물동반여행지 #서피비치 #서핑 #캠핑 #한국관광의별 #해변가,14,66,38.0277534804076,128.717521171416,2
66,3,낙산사,강원특별자치도 양양군 강현면 낙산사로 100,#2024_여행가는달과함께하는_발도장여행지 #가족여행 #강원권 #강원도_여행지_추천 #관광지 #기차여행 #나들이 #낙산사 #동해여행 #사찰&산사 #서울근교여행 #아이와함께 #양양여행 #양양여행지추천 #역사 #자연좋은곳 #전통&역사문화체험 #체험학습 #친구와함께 #템플스테이,14,67,38.1245691613212,128.630163648893,2
67,1,대포항,강원특별자치도 속초시 대포항길 64,#가족여행 #강원권 #관광지 #나들이 #대포항 #데이트코스 #바다풍경 #아이와함께 #여름여행 #연인과함께 #자연 #자연좋은곳 #체험학습 #친구와함께 #힐링,15,68,38.1749711422915,128.60748306796,2
68,2,영금정,강원특별자치도 속초시 동명항길 35,#2024_여행가는달과함께하는_발도장여행지 #강원권 #경치좋은곳 #관광지 #나들이 #바다낚시 #바다풍경 #야간관광100선 #영금정 #자연좋은곳 #전망좋은곳 #피서여행 #해돋이명소 #해상정자 #해안절경,15,69,38.2121070424096,128.597344846395,2
69,3,영랑호,강원특별자치도 속초시 영랑호반길 140,#강원도_여행지_추천 #관광지 #나홀로여행 #문화관광해설사 #생태관광지 #영랑호 #자연 #휴양여행 #힐링 #힐링여행,15,70,38.2142296232005,128.58078554268,2
70,4,속초해수욕장,강원특별자치도 속초시 해오름로 190,#가족여행 #강원권 #관광지 #기차여행 #나들이 #당일치기여행 #데이트코스 #바다풍경 #서울근교여행 #속초해변 #아이와함께 #여름방학가볼만한곳 #여름여행 #연인과함께 #일출일몰명소 #자연 #자연좋은곳 #체험학습 #친구와함께 #힐링,15,71,38.1905709826187,128.602024647419,2
71,1,구례구역,전라남도 순천시 황전면 섬진강로 217,#관광지 #구례입구 #순천기차역여행 #순천서원 #순천여행 #윤스테이촬영지 #전라남도여행,16,72,35.163310650026,127.453153044419,6
72,2,침실습지,전라남도 곡성군 오곡면 오지2길 21-99,#경치좋은곳 #관광지 #사진여행 #사진찍기 #사진촬영 #사진촬영명소 #자연 #자연관광지 #자연발생 #자연속으로 #자연여행 #자연좋은곳 #자연체험 #자연풍경 #자연환경 #휴식공간 #휴식여행 #휴식하기 #휴식하기좋은곳,16,73,35.2690162951131,127.326921106257,6
73,3,곡성역,전라남도 곡성군 곡성읍 곡성로 920,#관광지 #기차역 #섬진강기차마을 #성곽역사 #전남여행,16,74,35.2836105383006,127.303695147064,6
74,4,섬진강기차마을,전라남도 곡성군 오곡면 기차마을로 232,#19_20한국관광100선 #2014 #2024_여행가는달과함께하는_발도장여행지 #23_24한국관광100선 #가족여행 #관광지 #기차여행 #섬진강기차마을 #수상내역 #야간관광100선 #이색열차 #장미여행지 #전라권 #창조관광 부문 #체험 #추억여행 #한국관광100선 #한국관광의별,16,75,35.2775315721907,127.308286688106,6
75,5,압록유원지,전라남도 곡성군 죽곡면 섬진강로 1012,#가족과함께 #곡성압록유원지 #관광지 #산책코스 #산책하기좋은곳 #섬진강유원지 #섬진강차박 #압록강 #여름피서지 #여름휴가 #유원지 #전남압록유원지 #캠핑장 #커플데이트 #피서여행지 #휴식공간 #휴식하기좋은곳,16,76,35.1919626880899,127.377512256741,6
76,6,곡성섬진강천문대,전라남도 구례군 구례읍 섬진강로 1234,#겨울방학가볼만한곳 #곡성섬진강천문대 #곡성천문관측소 #곡성천문대 #관광지 #구례여행 #구례천문대 #섬진강천문대 #아이와함께 #여름방학가볼만한곳 #자연 #전라권 #주말추천여행 #체험학습,16,77,35.2266224751196,127.369189304448,6
77,1,상주은모래비치,경상남도 남해군 상주면 상주로 17,#가족여행 #관광지 #남해여행 #남해해수욕장 #바다풍경 #상주은모래비치 #아이와함께 #여름방학가볼만한곳 #여름여행 #여름휴가 #연인과함께 #은모래 #은모래비치 #자연 #친구와함께 #피서여행 #한려해상국립공원 #해수욕장,17,78,34.7216222818227,127.988434607732,5
78,2,미조항,경상남도 남해군 미조면,#관광지 #남해 #바다 #자연,17,79,34.7120206495288,128.046036616919,5
79,3,남해보물섬전망대,경상남도 남해군 삼동면 동부대로 720,#2024_여행가는달과함께하는_발도장여행지 #경치여행 #경치좋은곳 #관광지 #남해가볼만한곳 #바다경치 #보물섬전망대 #연인과함께 #이색체험 #익스트림스포츠 #전망대 #친구와함께 #휴식공간 #휴식여행,17,80,34.7698293872598,128.053324367469,5
80,4,항도몽돌해수욕장과 항도방파제,경상남도 남해군 미조면 송정리,#관광지 #여름피서지 #자연 #자연관광지 #자연속으로 #자연여행 #자연좋은곳 #자연풍경 #자연환경 #항도몽돌해변 #항도몽돌해수욕장 #항도방파제 #휴식하기좋은곳,17,81,34.7504859959708,128.042852075473,5
81,5,원천항,경상남도 남해군 이동면 신전리 1138-10,#관광지,17,82,34.7629977216043,127.947654548936,5
82,6,남해 물건리 방조어부림,경상남도 남해군 삼동면 동부대로1030번길 59,#가족여행 #경상권 #경상남도여행 #경치좋은곳 #관광지 #남해관광 #남해산책길 #남해여행 #독일마을 #드라이브여행 #드라이브코스 #물건마을 #역사 #월출 #일출 #일출일몰명소 #자연 #자연유산 #자연좋은곳 #천연기념물 #해돋이명소,17,83,34.7957567049395,128.050425544429,5
83,1,안도해변,전라남도 여수시 남면 안도해수욕장길 105,#관광지 #낚시 #바다 #안도해변 #여름피서지 #자연 #자연좋은곳 #자연환경 #전라권 #풍경좋은곳 #휴식여행 #힐링여행,18,84,34.490475135032,127.812517032458,6
84,2,한려해상국립공원 (오동도),전라남도 여수시 오동도로 222,#21_22한국관광100선 #23_24한국관광100선 #가족여행 #걷기좋은곳 #관광지 #동백꽃 #동백열차 #바다풍경 #생태관광지 #섬여행 #여수가볼만한곳 #여수동백꽃명소 #여수동백섬 #여수여행 #여수오동도 #여수의상징 #연중무휴 #오동도 #오동도등대 #자연 #전라권 #전라남도여행 #한국관광100선 #휴양여행 #힐링,18,85,34.7443617478229,127.764104097259,6
85,3,해금강유람선,경상남도 거제시 남부면 해금강로 270,"#거제가볼만한곳 #거제선상관광 #거제외도관람 #거제유람선 #관광지 #바다 #바다,섬 #바다전망 #바다풍경 #연인과함께 #우제봉 #유람선 #자연환경 #해금강 #힐링&여행 #힐링&휴양여행 #힐링&휴양여행",18,86,34.737803119248,128.673190032312,5
86,4,금오도,전라남도 여수시 남면,#2020_휴가철찾아가고싶은_33섬 #2023찾아가고싶은섬 #2023찾아가고싶은섬_가을섬 #가족과함께 #경치여행 #경치좋은곳 #관광지 #금오도 #금오도비렁길 #다도해해상국립공원 #바다내음 #산책길 #섬여행 #자연 #자연마을 #자연여행 #자연좋은곳 #자연풍경 #자연환경 #휴식공간 #휴식여행 #휴식하기 #휴식하기좋은곳,18,87,34.5089645965176,127.767526123981,6
