addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title
대구광역시 동구 동대구로 461,(신천동),4,0,A02,A0204,A02040800,2457312,12,20161215184035,,,,128.6248600431,35.8714286996,6,20231109134553,4,,대구경북디자인진흥원
대구광역시 달서구 공원순환로 36,,4,0,A02,A0202,A02020700,126131,12,20031105090000,http://tong.visitkorea.or.kr/cms/resource/29/2370129_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2370129_image3_1.jpg,Type3,128.5637104699,35.8500105518,6,20230906140535,2,,대구두류공원
대구광역시 수성구 팔현길 248,,4,0,A02,A0205,A02050200,1115359,12,20101022023816,,,,128.6580042373,35.8753566453,6,20240205121653,7,,대구부수성비
대구광역시 동구 팔공로 227,(봉무동),4,0,A02,A0204,A02040800,2470055,12,20161229001843,http://tong.visitkorea.or.kr/cms/resource/20/2029420_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2029420_image3_1.jpg,Type3,128.6403017970,35.9191096976,6,20230610082526,4,,대구섬유박물관
대구광역시 달서구 화암로 342,(대곡동),4,0,A01,A0101,A01010700,128120,12,20040420090000,http://tong.visitkorea.or.kr/cms/resource/91/2675691_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2675691_image2_1.jpg,Type3,128.5200295717,35.8007431029,6,20240508133836,2,,대구수목원
대구광역시 동구 팔공산로 1155,(용수동),4,0,A02,A0202,A02020600,701683,12,20090227232637,http://tong.visitkorea.or.kr/cms/resource/53/2715753_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2715753_image2_1.jpg,Type3,128.6919230606,35.9891527182,6,20230203143921,4,,대구시민안전테마파크
대구광역시 남구 앞산순환로 574-87,,4,0,A01,A0101,A01010500,126132,12,20031105090000,,,,128.5890560428,35.8290189503,6,20240313153720,1,,대구앞산공원
대구광역시 중구 중앙대로77길 45,,4,,A02,A0202,A02020500,2822328,12,20220530164539,http://tong.visitkorea.or.kr/cms/resource/65/2822265_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/2822265_image3_1.jpg,Type1,128.5909992253,35.8682589890,6,20240620162906,8,,대구약령시 한방의료체험타운
대구광역시 수성구 동대구로 176,(황금동),4,0,A02,A0202,A02020600,2742469,12,20210910002713,http://tong.visitkorea.or.kr/cms/resource/39/2742439_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2742439_image2_1.jpg,Type3,128.6277993617,35.8467259942,6,20230926133925,7,,대구어린이대공원
대구광역시 중구 국채보상로102길 50,(남성로),4,0,A02,A0201,A02010900,250329,12,20071023090000,,,,128.5895493503,35.8683617281,6,20240529152713,8,,대구제일교회
대구광역시 중구 명륜로 112,(남산동),4,0,A02,A0201,A02010700,128119,12,20040420090000,http://tong.visitkorea.or.kr/cms/resource/22/2370122_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2370122_image3_1.jpg,Type3,128.5959906893,35.8597517110,6,20230706153748,8,,대구향교
대구광역시 중구 종로 34 대구화교소학교,,4,,A02,A0201,A02010700,2930875,12,20221206174739,,,,128.5919046844,35.8688783799,6,20221206174926,8,,대구화교협회
대구광역시 중구 북성로 19-1,(서야동),4,0,A02,A0201,A02010800,300072,12,20071128202309,http://tong.visitkorea.or.kr/cms/resource/12/2687612_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2687612_image3_1.jpg,Type3,128.5845024217,35.8737887990,6,20230223111858,8,,대성사(대구)
대구광역시 수성구 청호로46길 5-3,,4,0,A02,A0201,A02010700,1955547,12,20141013204009,,,,128.6405817836,35.8390493209,6,20230912102615,7,,덕산서원(대구)
대구광역시 동구 인산로 242,(진인동),4,0,A02,A0201,A02010800,2756634,12,20211013232900,http://tong.visitkorea.or.kr/cms/resource/05/2756805_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2756805_image2_1.jpg,Type3,128.7298152905,35.9491440655,6,20231221141041,4,,도림사(대구)
