Store Name
행복한갈비 지저본점
울진대게 본점
팔공노을철판구이
화로38 수성못점
다나
씨다씨 수성못직영점
샤브20 수성못점
리안
야부리 수성못점
설옥 동성로점
투인샤브 대구침산점
숙돈가
먼데이오프플리즈 대구
짜새닭 수성본점
목구멍 대구종로점
구공탄막창
회성각
용지봉
맨션 드 방콕
8번식당 본점
뭄뭄 대구 본점
동해집
무화커피
오드 다이너
지환이네왕족발 본점
효탄
오아시스
우각정식당 수성못점
이씨씨커피
성서 제1능이버섯 능이백숙
버터베이크
연화
다나 성서계명대점
아웃백스테이크하우스 대구 신세계점
대한콩국 칠곡본점
애슐리퀸즈 대구이월드점
면장수 앞산점
야끼니꾸고점 반월당역점
신서문김밥
루토다이닝by갓포루토
삼대애
돈까스 무한리필 돈신 동성로
룰리커피 가창점
대동면옥
초이스엠
너랑나랑막창
샤브20 상인점
한상바다 다사
돈카돈츠 장기점
승정원한우 대구수성못점
